,proband_id,test_name,trialn,rsp
0,4273,cvlt2,0,truck
1,4273,cvlt2,0,spinach
2,4273,cvlt2,0,boat
3,4273,cvlt2,0,cabbage
4,4273,cvlt2,0,intrusion
5,4273,cvlt2,0,squirrel
6,4273,cvlt2,1,motorcycle
7,4273,cvlt2,1,cabbage
8,4273,cvlt2,1,boat
9,4273,cvlt2,1,truck
10,4273,cvlt2,1,cabinet
11,4273,cvlt2,1,celery
12,4273,cvlt2,2,zebra
13,4273,cvlt2,2,cow
14,4273,cvlt2,2,cabinet
15,4273,cvlt2,2,squirrel
16,4273,cvlt2,2,desk
17,4273,cvlt2,2,boat
18,4273,cvlt2,2,celery
19,4273,cvlt2,3,cabbage
20,4273,cvlt2,3,lamp
21,4273,cvlt2,3,desk
22,4273,cvlt2,3,boat
23,4273,cvlt2,3,zebra
24,4273,cvlt2,3,intrusion
25,4273,cvlt2,3,truck
26,4273,cvlt2,3,lamp
27,4273,cvlt2,3,intrusion
28,4273,cvlt2,4,cabbage
29,4273,cvlt2,4,cabinet
30,4273,cvlt2,4,motorcycle
31,4273,cvlt2,4,zebra
32,4273,cvlt2,4,celery
33,4273,cvlt2,4,boat
34,4273,cvlt2,4,desk
35,4273,cvlt2,4,intrusion
36,4273,cvlt2,4,truck
0,4307,cvlt2,0,truck
1,4307,cvlt2,0,spinach
2,4307,cvlt2,0,giraffe
3,4307,cvlt2,0,bookcase
4,4307,cvlt2,0,subway
5,4307,cvlt2,1,truck
6,4307,cvlt2,1,spinach
7,4307,cvlt2,1,giraffe
8,4307,cvlt2,1,bookcase
9,4307,cvlt2,1,squirrel
10,4307,cvlt2,1,cabbage
11,4307,cvlt2,1,giraffe
12,4307,cvlt2,1,subway
13,4307,cvlt2,2,truck
14,4307,cvlt2,2,spinach
15,4307,cvlt2,2,giraffe
16,4307,cvlt2,2,squirrel
17,4307,cvlt2,2,bookcase
18,4307,cvlt2,2,motorcycle
19,4307,cvlt2,2,onion
20,4307,cvlt2,3,cabbage
21,4307,cvlt2,3,squirrel
22,4307,cvlt2,3,truck
23,4307,cvlt2,3,bookcase
24,4307,cvlt2,3,onion
25,4307,cvlt2,3,celery
26,4307,cvlt2,3,zebra
27,4307,cvlt2,3,giraffe
28,4307,cvlt2,3,subway
29,4307,cvlt2,3,cabinet
30,4307,cvlt2,3,onion
31,4307,cvlt2,3,motorcycle
32,4307,cvlt2,3,spinach
33,4307,cvlt2,4,cabbage
34,4307,cvlt2,4,squirrel
35,4307,cvlt2,4,giraffe
36,4307,cvlt2,4,zebra
37,4307,cvlt2,4,cabinet
38,4307,cvlt2,4,bookcase
39,4307,cvlt2,4,giraffe
40,4307,cvlt2,4,subway
41,4307,cvlt2,4,spinach
42,4307,cvlt2,4,onion
43,4307,cvlt2,4,motorcycle
44,4307,cvlt2,4,celery
45,4307,cvlt2,4,onion
46,4307,cvlt2,4,truck
0,4346,cvlt2,0,truck
1,4346,cvlt2,0,spinach
2,4346,cvlt2,0,boat
3,4346,cvlt2,0,giraffe
4,4346,cvlt2,0,cabbage
5,4346,cvlt2,0,cabinet
6,4346,cvlt2,0,intrusion
7,4346,cvlt2,0,onion
8,4346,cvlt2,1,cabbage
9,4346,cvlt2,1,squirrel
10,4346,cvlt2,1,boat
11,4346,cvlt2,1,bookcase
12,4346,cvlt2,1,onion
13,4346,cvlt2,1,zebra
14,4346,cvlt2,1,boat
15,4346,cvlt2,1,intrusion
16,4346,cvlt2,1,desk
17,4346,cvlt2,2,truck
18,4346,cvlt2,2,spinach
19,4346,cvlt2,2,boat
20,4346,cvlt2,2,cabbage
21,4346,cvlt2,2,squirrel
22,4346,cvlt2,2,giraffe
23,4346,cvlt2,2,lamp
24,4346,cvlt2,2,desk
25,4346,cvlt2,2,celery
26,4346,cvlt2,2,motorcycle
27,4346,cvlt2,2,truck
28,4346,cvlt2,2,giraffe
29,4346,cvlt2,2,boat
30,4346,cvlt2,2,celery
31,4346,cvlt2,2,desk
32,4346,cvlt2,2,zebra
33,4346,cvlt2,3,squirrel
34,4346,cvlt2,3,cabinet
35,4346,cvlt2,3,bookcase
36,4346,cvlt2,3,desk
37,4346,cvlt2,3,subway
38,4346,cvlt2,3,onion
39,4346,cvlt2,3,celery
40,4346,cvlt2,3,zebra
41,4346,cvlt2,3,motorcycle
42,4346,cvlt2,3,boat
43,4346,cvlt2,3,giraffe
44,4346,cvlt2,4,lamp
45,4346,cvlt2,4,cow
46,4346,cvlt2,4,squirrel
47,4346,cvlt2,4,cabbage
48,4346,cvlt2,4,boat
49,4346,cvlt2,4,cabinet
50,4346,cvlt2,4,desk
51,4346,cvlt2,4,zebra
52,4346,cvlt2,4,celery
53,4346,cvlt2,4,cabbage
54,4346,cvlt2,4,truck
55,4346,cvlt2,4,motorcycle
56,4346,cvlt2,4,desk
0,4365,cvlt2,0,cabbage
1,4365,cvlt2,0,squirrel
2,4365,cvlt2,0,spinach
3,4365,cvlt2,0,desk
4,4365,cvlt2,0,subway
5,4365,cvlt2,0,giraffe
6,4365,cvlt2,0,onion
7,4365,cvlt2,0,squirrel
8,4365,cvlt2,0,truck
9,4365,cvlt2,1,cabbage
10,4365,cvlt2,1,boat
11,4365,cvlt2,1,cow
12,4365,cvlt2,1,celery
13,4365,cvlt2,1,subway
14,4365,cvlt2,1,cabinet
15,4365,cvlt2,1,giraffe
16,4365,cvlt2,1,squirrel
17,4365,cvlt2,1,spinach
18,4365,cvlt2,1,intrusion
19,4365,cvlt2,1,celery
20,4365,cvlt2,1,subway
21,4365,cvlt2,1,truck
22,4365,cvlt2,2,zebra
23,4365,cvlt2,2,motorcycle
24,4365,cvlt2,2,cabbage
25,4365,cvlt2,2,spinach
26,4365,cvlt2,2,giraffe
27,4365,cvlt2,2,cow
28,4365,cvlt2,2,truck
29,4365,cvlt2,2,giraffe
30,4365,cvlt2,2,cabinet
31,4365,cvlt2,2,motorcycle
32,4365,cvlt2,2,intrusion
33,4365,cvlt2,2,celery
34,4365,cvlt2,3,squirrel
35,4365,cvlt2,3,cabbage
36,4365,cvlt2,3,bookcase
37,4365,cvlt2,3,onion
38,4365,cvlt2,3,giraffe
39,4365,cvlt2,3,celery
40,4365,cvlt2,3,cabbage
41,4365,cvlt2,3,subway
42,4365,cvlt2,3,motorcycle
43,4365,cvlt2,3,cabinet
44,4365,cvlt2,3,zebra
45,4365,cvlt2,3,giraffe
46,4365,cvlt2,3,cow
47,4365,cvlt2,3,cabbage
48,4365,cvlt2,3,onion
49,4365,cvlt2,3,intrusion
50,4365,cvlt2,3,spinach
51,4365,cvlt2,3,onion
52,4365,cvlt2,3,truck
53,4365,cvlt2,3,cabbage
