,proband_id,test_name,phase,trialn,matches,ans,symbol1,symbol2,symbol3,rsp,rt
0,4273,ipcpts,practice,0,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
1,4273,ipcpts,practice,1,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,No,0
2,4273,ipcpts,practice,2,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
3,4273,ipcpts,practice,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,Yes,1487
4,4273,ipcpts,practice,4,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,No,0
5,4273,ipcpts,practice,5,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,No,0
6,4273,ipcpts,practice,6,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
7,4273,ipcpts,test,0,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
8,4273,ipcpts,test,1,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
9,4273,ipcpts,test,2,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,742
10,4273,ipcpts,test,3,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,626
11,4273,ipcpts,test,4,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,No,0
12,4273,ipcpts,test,5,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,Yes,546
13,4273,ipcpts,test,6,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
14,4273,ipcpts,test,7,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
15,4273,ipcpts,test,8,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,638
16,4273,ipcpts,test,9,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
17,4273,ipcpts,test,10,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,Yes,502
18,4273,ipcpts,test,11,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
19,4273,ipcpts,test,12,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,No,0
20,4273,ipcpts,test,13,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,No,0
21,4273,ipcpts,test,14,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,No,0
22,4273,ipcpts,test,15,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
23,4273,ipcpts,test,16,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,Yes,550
24,4273,ipcpts,test,17,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,No,0
25,4273,ipcpts,test,18,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,Yes,766
26,4273,ipcpts,test,19,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
27,4273,ipcpts,test,20,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,Yes,710
28,4273,ipcpts,test,21,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
29,4273,ipcpts,test,22,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
30,4273,ipcpts,test,23,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,Yes,458
31,4273,ipcpts,test,24,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
32,4273,ipcpts,test,25,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,Yes,610
33,4273,ipcpts,test,26,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
34,4273,ipcpts,test,27,2,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
35,4273,ipcpts,test,28,1,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
36,4273,ipcpts,test,29,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,No,0
