,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,incongruent_ntrials,incongruent_ncorrect,incongruent_rt_mean,incongruent_rt_mean_outrmvd,incongruent_rt_outrmvd,incongruent_dprime,incongruent_criterion,incongruent_N,incongruent_S,incongruent_H,incongruent_F,congruent_ntrials,congruent_ncorrect,congruent_rt_mean,congruent_rt_mean_outrmvd,congruent_rt_outrmvd,congruent_dprime,congruent_criterion,congruent_N,congruent_S,congruent_H,congruent_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,group
4377,112.0,109.0,1184.85321101,1105.73584906,3.0,3.98627624655,-0.381968960921,56.0,56.0,56.0,3.0,56.0,56.0,1091.17857143,1063.56363636,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,53.0,1283.83018868,1215.03846154,1.0,3.35624756337,-0.436256989842,28.0,28.0,28.0,3.0,-3.0,-0.872513979684,151.474825175,1.0
4378,112.0,56.0,1082.35714286,1055.85454545,1.0,0.0,-0.0447761766955,56.0,56.0,29.0,29.0,56.0,6.0,1271.66666667,1271.66666667,0.0,-2.48373358369,-2.22044604925e-16,28.0,28.0,3.0,25.0,56.0,50.0,1059.64,1029.42857143,1.0,2.53280431656,-0.198831634404,28.0,28.0,26.0,4.0,44.0,5.01653790025,-242.238095238,0.0
4379,112.0,99.0,1368.16161616,1287.16666667,3.0,2.45676026736,0.236853659004,56.0,56.0,47.0,4.0,56.0,56.0,1205.64285714,1205.64285714,0.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,43.0,1579.81395349,1579.81395349,0.0,1.53127827534,0.30193138621,28.0,28.0,19.0,4.0,-13.0,-2.69748326772,374.171096346,0.0
4380,112.0,108.0,1258.99074074,1228.87850467,1.0,3.7113346552,-0.244498165246,56.0,56.0,55.0,3.0,56.0,55.0,1212.10909091,1167.47169811,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,56.0,53.0,1307.64150943,1246.61538462,1.0,3.26797688342,-0.168754649027,28.0,28.0,27.0,2.0,-2.0,-0.649146978842,79.1436865022,1.0
4381,112.0,112.0,778.616071429,759.045454545,2.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,910.928571429,875.962962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,646.303571429,624.12962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-251.833333333,0.0
4382,112.0,110.0,1140.61818182,1089.23148148,2.0,4.20033098569,4.4408920985e-16,56.0,56.0,55.0,1.0,56.0,54.0,1188.96296296,1120.43396226,1.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,56.0,56.0,1094.0,1032.66666667,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,2.0,0.623275361577,-87.7672955975,1.0
4383,112.0,111.0,1282.04504505,1233.09174312,2.0,4.47527257704,0.137470795675,56.0,56.0,55.0,0.0,56.0,56.0,1373.96428571,1330.21818182,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,55.0,1188.45454545,1134.16666667,1.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,-1.0,-0.311637680788,-196.051515152,0.0
4384,112.0,60.0,967.75,936.120689655,2.0,0.179465970704,-0.0449568086567,56.0,56.0,31.0,27.0,56.0,4.0,1095.0,1095.0,0.0,-3.04460988258,-0.280438149448,28.0,28.0,3.0,27.0,56.0,56.0,958.660714286,939.727272727,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,52.0,7.27337142564,-155.272727273,1.0
4385,112.0,112.0,1754.92857143,1557.73873874,1.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1823.35714286,1426.63636364,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1686.5,1578.07272727,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,151.436363636,1.0
4386,112.0,109.0,1408.53211009,1302.0952381,4.0,3.90290858358,0.148711201053,56.0,56.0,54.0,1.0,56.0,53.0,1654.03773585,1538.50980392,2.0,3.26797688342,0.168754649027,28.0,28.0,26.0,1.0,56.0,56.0,1176.17857143,1140.65454545,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,3.0,0.96078465963,-397.855258467,0.0
