,proband_id,test_name,phase,load,trialn,ans,array_f,probe_f,rsp,rt
29,4273,scap,test,4,12,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-25.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-26.BMP,No,660
30,4273,scap,test,4,13,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-27.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-28.BMP,No,660
31,4273,scap,test,5,0,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-1.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-2.BMP,No,500
32,4273,scap,test,5,1,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-3.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-4.BMP,No,3310
33,4273,scap,test,5,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-5.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-6.BMP,No,580
34,4273,scap,test,5,3,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-7.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-8.BMP,Yes,100
35,4273,scap,test,5,4,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-9.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-10.BMP,Yes,840
36,4273,scap,test,5,5,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-11.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-12.BMP,Yes,690
37,4273,scap,test,5,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-13.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-14.BMP,No,750
38,4273,scap,test,5,7,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-15.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-16.BMP,No,2850
39,4273,scap,test,5,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-17.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-18.BMP,No,3681
40,4273,scap,test,5,9,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-19.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-20.BMP,No,1500
41,4273,scap,test,5,10,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-21.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-22.BMP,No,820
42,4273,scap,test,5,11,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-23.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-24.BMP,Yes,1250
43,4273,scap,test,5,12,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-25.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-26.BMP,No,570
44,4273,scap,test,5,13,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-27.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-28.BMP,No,880
0,4307,scap,practice,3,0,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\practice-1.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\practice-2.BMP,Yes,6100
