,proband_id,test_name,phase,trialn,sequence,rsp
6,4365,verbal_working_memory,forward,6,918427,True
7,4365,verbal_working_memory,forward,7,635482,True
8,4365,verbal_working_memory,forward,8,1285346,True
9,4365,verbal_working_memory,forward,9,2814975,True
10,4365,verbal_working_memory,forward,10,38295174,True
11,4365,verbal_working_memory,forward,11,59182647,True
12,4365,verbal_working_memory,backward,0,51,True
13,4365,verbal_working_memory,backward,1,38,True
14,4365,verbal_working_memory,backward,2,493,True
15,4365,verbal_working_memory,backward,3,526,True
16,4365,verbal_working_memory,backward,4,3814,False
17,4365,verbal_working_memory,backward,5,1795,True
18,4365,verbal_working_memory,backward,6,62972,True
19,4365,verbal_working_memory,backward,7,48527,False
20,4365,verbal_working_memory,backward,8,715286,False
21,4365,verbal_working_memory,backward,9,831964,False
22,4365,verbal_working_memory,practice,0,6F,True
23,4365,verbal_working_memory,practice,1,G4,True
24,4365,verbal_working_memory,practice,2,3W5,True
25,4365,verbal_working_memory,practice,3,T7L,True
26,4365,verbal_working_memory,practice,4,6GA2,True
27,4365,verbal_working_memory,practice,5,9PF4,True
28,4365,verbal_working_memory,digit letter,0,L2,True
29,4365,verbal_working_memory,digit letter,1,6P,True
30,4365,verbal_working_memory,digit letter,2,B5,True
31,4365,verbal_working_memory,digit letter,3,F7L,True
32,4365,verbal_working_memory,digit letter,4,R4D,True
33,4365,verbal_working_memory,digit letter,5,H18,True
34,4365,verbal_working_memory,digit letter,6,T9A3,True
35,4365,verbal_working_memory,digit letter,7,V1J5,True
36,4365,verbal_working_memory,digit letter,8,7N4L,True
37,4365,verbal_working_memory,digit letter,9,8D6G1,False
38,4365,verbal_working_memory,digit letter,10,K2C7S,False
39,4365,verbal_working_memory,digit letter,11,5P3Y9,False
0,4367,verbal_working_memory,forward,0,629,True
1,4367,verbal_working_memory,forward,1,375,True
2,4367,verbal_working_memory,forward,2,5417,True
3,4367,verbal_working_memory,forward,3,8396,True
4,4367,verbal_working_memory,forward,4,36925,True
5,4367,verbal_working_memory,forward,5,69471,False
6,4367,verbal_working_memory,forward,6,918427,False
7,4367,verbal_working_memory,forward,7,635482,False
8,4367,verbal_working_memory,backward,0,51,True
9,4367,verbal_working_memory,backward,1,38,True
10,4367,verbal_working_memory,backward,2,493,False
11,4367,verbal_working_memory,backward,3,526,False
12,4367,verbal_working_memory,practice,0,6F,True
13,4367,verbal_working_memory,practice,1,G4,False
14,4367,verbal_working_memory,practice,2,3W5,True
15,4367,verbal_working_memory,practice,3,T7L,False
16,4367,verbal_working_memory,practice,4,6GA2,False
17,4367,verbal_working_memory,practice,5,9PF4,True
18,4367,verbal_working_memory,digit letter,0,L2,True
19,4367,verbal_working_memory,digit letter,1,6P,True
20,4367,verbal_working_memory,digit letter,2,B5,True
21,4367,verbal_working_memory,digit letter,3,F7L,True
22,4367,verbal_working_memory,digit letter,4,R4D,False
23,4367,verbal_working_memory,digit letter,5,H18,False
24,4367,verbal_working_memory,digit letter,6,T9A3,True
25,4367,verbal_working_memory,digit letter,7,V1J5,False
26,4367,verbal_working_memory,digit letter,8,7N4L,False
27,4367,verbal_working_memory,digit letter,9,8D6G1,False
28,4367,verbal_working_memory,digit letter,10,K2C7S,False
29,4367,verbal_working_memory,digit letter,11,5P3Y9,False
0,4368,verbal_working_memory,forward,0,629,True
1,4368,verbal_working_memory,forward,1,375,True
2,4368,verbal_working_memory,forward,2,5417,True
3,4368,verbal_working_memory,forward,3,8396,True
4,4368,verbal_working_memory,forward,4,36925,True
5,4368,verbal_working_memory,forward,5,69471,True
6,4368,verbal_working_memory,forward,6,918427,False
7,4368,verbal_working_memory,forward,7,635482,False
8,4368,verbal_working_memory,backward,0,51,True
9,4368,verbal_working_memory,backward,1,38,True
10,4368,verbal_working_memory,backward,2,493,False
11,4368,verbal_working_memory,backward,3,526,True
12,4368,verbal_working_memory,backward,4,3814,False
13,4368,verbal_working_memory,backward,5,1795,False
14,4368,verbal_working_memory,practice,0,6F,False
15,4368,verbal_working_memory,practice,1,G4,True
16,4368,verbal_working_memory,practice,2,3W5,True
17,4368,verbal_working_memory,practice,3,T7L,False
18,4368,verbal_working_memory,practice,4,6GA2,False
19,4368,verbal_working_memory,practice,5,9PF4,False
20,4368,verbal_working_memory,digit letter,0,L2,True
21,4368,verbal_working_memory,digit letter,1,6P,True
22,4368,verbal_working_memory,digit letter,2,B5,True
23,4368,verbal_working_memory,digit letter,3,F7L,False
24,4368,verbal_working_memory,digit letter,4,R4D,False
25,4368,verbal_working_memory,digit letter,5,H18,False
0,4369,verbal_working_memory,forward,0,629,True
1,4369,verbal_working_memory,forward,1,375,True
2,4369,verbal_working_memory,forward,2,5417,True
3,4369,verbal_working_memory,forward,3,8396,True
4,4369,verbal_working_memory,forward,4,36925,True
5,4369,verbal_working_memory,forward,5,69471,True
6,4369,verbal_working_memory,forward,6,918427,True
7,4369,verbal_working_memory,forward,7,635482,True
8,4369,verbal_working_memory,forward,8,1285346,False
9,4369,verbal_working_memory,forward,9,2814975,True
10,4369,verbal_working_memory,forward,10,38295174,False
11,4369,verbal_working_memory,forward,11,59182647,True
12,4369,verbal_working_memory,backward,0,51,True
13,4369,verbal_working_memory,backward,1,38,True
14,4369,verbal_working_memory,backward,2,493,True
15,4369,verbal_working_memory,backward,3,526,True
16,4369,verbal_working_memory,backward,4,3814,True
17,4369,verbal_working_memory,backward,5,1795,True
18,4369,verbal_working_memory,backward,6,62972,True
19,4369,verbal_working_memory,backward,7,48527,True
20,4369,verbal_working_memory,backward,8,715286,True
21,4369,verbal_working_memory,backward,9,831964,True
22,4369,verbal_working_memory,backward,10,4739128,False
23,4369,verbal_working_memory,backward,11,8129365,False
24,4369,verbal_working_memory,practice,0,6F,True
25,4369,verbal_working_memory,practice,1,G4,True
26,4369,verbal_working_memory,practice,2,3W5,True
27,4369,verbal_working_memory,practice,3,T7L,True
28,4369,verbal_working_memory,practice,4,6GA2,True
29,4369,verbal_working_memory,practice,5,9PF4,True
30,4369,verbal_working_memory,digit letter,0,L2,True
31,4369,verbal_working_memory,digit letter,1,6P,True
32,4369,verbal_working_memory,digit letter,2,B5,True
33,4369,verbal_working_memory,digit letter,3,F7L,True
34,4369,verbal_working_memory,digit letter,4,R4D,True
35,4369,verbal_working_memory,digit letter,5,H18,True
36,4369,verbal_working_memory,digit letter,6,T9A3,True
37,4369,verbal_working_memory,digit letter,7,V1J5,True
38,4369,verbal_working_memory,digit letter,8,7N4L,False
39,4369,verbal_working_memory,digit letter,9,8D6G1,False
40,4369,verbal_working_memory,digit letter,10,K2C7S,True
41,4369,verbal_working_memory,digit letter,11,5P3Y9,True
42,4369,verbal_working_memory,digit letter,12,M4E7Q2,False
43,4369,verbal_working_memory,digit letter,13,W8H5F3,False
44,4369,verbal_working_memory,digit letter,14,6G9A2S,False
0,4370,verbal_working_memory,forward,0,629,True
1,4370,verbal_working_memory,forward,1,375,True
2,4370,verbal_working_memory,forward,2,5417,True
3,4370,verbal_working_memory,forward,3,8396,True
4,4370,verbal_working_memory,forward,4,36925,True
5,4370,verbal_working_memory,forward,5,69471,True
6,4370,verbal_working_memory,forward,6,918427,False
7,4370,verbal_working_memory,forward,7,635482,False
8,4370,verbal_working_memory,backward,0,51,True
9,4370,verbal_working_memory,backward,1,38,True
10,4370,verbal_working_memory,backward,2,493,True
11,4370,verbal_working_memory,backward,3,526,True
12,4370,verbal_working_memory,backward,4,3814,True
13,4370,verbal_working_memory,backward,5,1795,True
14,4370,verbal_working_memory,backward,6,62972,False
15,4370,verbal_working_memory,backward,7,48527,False
16,4370,verbal_working_memory,practice,0,6F,True
17,4370,verbal_working_memory,practice,1,G4,True
18,4370,verbal_working_memory,practice,2,3W5,False
19,4370,verbal_working_memory,practice,3,T7L,True
20,4370,verbal_working_memory,practice,4,6GA2,False
21,4370,verbal_working_memory,practice,5,9PF4,True
22,4370,verbal_working_memory,digit letter,0,L2,True
23,4370,verbal_working_memory,digit letter,1,6P,False
24,4370,verbal_working_memory,digit letter,2,B5,True
25,4370,verbal_working_memory,digit letter,3,F7L,False
26,4370,verbal_working_memory,digit letter,4,R4D,True
27,4370,verbal_working_memory,digit letter,5,H18,True
28,4370,verbal_working_memory,digit letter,6,T9A3,False
29,4370,verbal_working_memory,digit letter,7,V1J5,True
30,4370,verbal_working_memory,digit letter,8,7N4L,True
31,4370,verbal_working_memory,digit letter,9,8D6G1,False
32,4370,verbal_working_memory,digit letter,10,K2C7S,False
33,4370,verbal_working_memory,digit letter,11,5P3Y9,False
0,4371,verbal_working_memory,forward,0,629,True
1,4371,verbal_working_memory,forward,1,375,True
2,4371,verbal_working_memory,forward,2,5417,True
3,4371,verbal_working_memory,forward,3,8396,True
4,4371,verbal_working_memory,forward,4,36925,True
5,4371,verbal_working_memory,forward,5,69471,False
6,4371,verbal_working_memory,forward,6,918427,False
7,4371,verbal_working_memory,forward,7,635482,False
8,4371,verbal_working_memory,backward,0,51,True
9,4371,verbal_working_memory,backward,1,38,True
10,4371,verbal_working_memory,backward,2,493,True
11,4371,verbal_working_memory,backward,3,526,True
12,4371,verbal_working_memory,backward,4,3814,False
13,4371,verbal_working_memory,backward,5,1795,False
14,4371,verbal_working_memory,practice,0,6F,True
15,4371,verbal_working_memory,practice,1,G4,True
16,4371,verbal_working_memory,practice,2,3W5,False
17,4371,verbal_working_memory,practice,3,T7L,False
18,4371,verbal_working_memory,digit letter,0,L2,True
19,4371,verbal_working_memory,digit letter,1,6P,True
20,4371,verbal_working_memory,digit letter,2,B5,True
21,4371,verbal_working_memory,digit letter,3,F7L,False
22,4371,verbal_working_memory,digit letter,4,R4D,False
23,4371,verbal_working_memory,digit letter,5,H18,False
0,4372,verbal_working_memory,forward,0,629,True
1,4372,verbal_working_memory,forward,1,375,True
2,4372,verbal_working_memory,forward,2,5417,True
3,4372,verbal_working_memory,forward,3,8396,True
4,4372,verbal_working_memory,forward,4,36925,True
5,4372,verbal_working_memory,forward,5,69471,True
6,4372,verbal_working_memory,forward,6,918427,True
7,4372,verbal_working_memory,forward,7,635482,True
8,4372,verbal_working_memory,forward,8,1285346,True
9,4372,verbal_working_memory,forward,9,2814975,True
10,4372,verbal_working_memory,forward,10,38295174,True
11,4372,verbal_working_memory,forward,11,59182647,True
12,4372,verbal_working_memory,backward,0,51,True
13,4372,verbal_working_memory,backward,1,38,True
14,4372,verbal_working_memory,backward,2,493,True
15,4372,verbal_working_memory,backward,3,526,True
16,4372,verbal_working_memory,backward,4,3814,True
17,4372,verbal_working_memory,backward,5,1795,True
18,4372,verbal_working_memory,backward,6,62972,True
19,4372,verbal_working_memory,backward,7,48527,False
20,4372,verbal_working_memory,backward,8,715286,True
21,4372,verbal_working_memory,backward,9,831964,False
22,4372,verbal_working_memory,backward,10,4739128,False
23,4372,verbal_working_memory,backward,11,8129365,True
24,4372,verbal_working_memory,practice,0,6F,True
25,4372,verbal_working_memory,practice,1,G4,True
26,4372,verbal_working_memory,practice,2,3W5,True
27,4372,verbal_working_memory,practice,3,T7L,True
28,4372,verbal_working_memory,practice,4,6GA2,True
29,4372,verbal_working_memory,practice,5,9PF4,True
30,4372,verbal_working_memory,digit letter,0,L2,True
31,4372,verbal_working_memory,digit letter,1,6P,True
32,4372,verbal_working_memory,digit letter,2,B5,True
33,4372,verbal_working_memory,digit letter,3,F7L,True
34,4372,verbal_working_memory,digit letter,4,R4D,True
35,4372,verbal_working_memory,digit letter,5,H18,True
36,4372,verbal_working_memory,digit letter,6,T9A3,True
37,4372,verbal_working_memory,digit letter,7,V1J5,True
38,4372,verbal_working_memory,digit letter,8,7N4L,True
39,4372,verbal_working_memory,digit letter,9,8D6G1,True
40,4372,verbal_working_memory,digit letter,10,K2C7S,True
41,4372,verbal_working_memory,digit letter,11,5P3Y9,False
42,4372,verbal_working_memory,digit letter,12,M4E7Q2,True
43,4372,verbal_working_memory,digit letter,13,W8H5F3,True
44,4372,verbal_working_memory,digit letter,14,6G9A2S,True
