,proband_id,test_name,phase,trialn,updates,origin,endpoint,moves,marginalpositions,rsp,rt
16,4346,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1560
17,4346,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,880
18,4346,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,1250
19,4346,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,3600
20,4346,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,5010
21,4346,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",9,9870
22,4346,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",6,7070
23,4346,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",2,9570
0,4365,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",8,2820
1,4365,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,4571
2,4365,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",9,4671
3,4365,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,2070
4,4365,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1720
5,4365,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1480
6,4365,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1600
7,4365,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,870
8,4365,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,660
9,4365,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,2700
10,4365,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,2120
11,4365,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,2971
12,4365,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,3850
13,4365,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,3100
14,4365,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,2741
15,4365,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",14,3110
16,4365,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,3660
17,4365,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,3940
18,4365,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",13,4231
19,4365,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",6,4190
20,4365,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",5,4620
0,4367,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,9771
1,4367,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,2910
2,4367,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",9,2130
3,4367,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",6,1810
4,4367,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,2980
5,4367,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,9350
6,4367,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",3,2260
7,4367,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",1,5191
8,4367,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",0,3160
0,4368,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,8811
1,4368,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,3481
2,4368,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,8411
3,4368,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,870
4,4368,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",11,500
5,4368,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,4520
6,4368,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1640
7,4368,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",3,480
8,4368,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",12,6380
9,4368,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",7,40
10,4368,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",9,820
11,4368,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",5,1100
0,4369,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1820
1,4369,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1380
2,4369,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",10,2970
3,4369,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,800
4,4369,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1450
5,4369,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",5,1370
6,4369,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",4,1471
7,4369,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",4,2710
8,4369,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",14,1320
0,4370,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,12690
1,4370,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1050
2,4370,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",4,2200
3,4370,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,2491
4,4370,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",9,1930
5,4370,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,920
6,4370,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1540
7,4370,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1230
8,4370,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",12,1431
9,4370,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",3,3370
10,4370,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",1,1350
11,4370,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",1,1720
0,4371,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,14191
1,4371,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,8800
2,4371,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",9,4700
3,4371,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1330
4,4371,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,3520
5,4371,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1400
6,4371,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",3,1740
7,4371,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",5,3170
8,4371,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",1,2340
0,4372,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1540
1,4372,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,2060
2,4372,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,1830
3,4372,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1910
4,4372,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1290
5,4372,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1100
6,4372,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1041
7,4372,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,970
8,4372,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1160
9,4372,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,940
10,4372,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1110
11,4372,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1170
12,4372,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,2980
13,4372,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1040
14,4372,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1110
15,4372,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,900
16,4372,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,910
17,4372,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,970
18,4372,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,1650
19,4372,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,1520
20,4372,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,1970
21,4372,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",7,590
22,4372,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,3930
23,4372,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,1790
24,4372,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",4,1460
25,4372,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",0,1720
26,4372,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",5,1550
27,4372,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",12,1650
28,4372,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",14,1320
29,4372,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",5,1490
0,4373,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,7380
1,4373,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,13221
2,4373,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",5,5420
3,4373,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1320
4,4373,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,2210
5,4373,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,1220
6,4373,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,2270
7,4373,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,2000
8,4373,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1451
9,4373,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,2950
10,4373,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,2190
11,4373,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",1,4141
12,4373,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,2700
13,4373,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1380
14,4373,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,4391
