,proband_id,test_name,trialn,rsp
0,4380,cvlt2_recall,0,motorcycle
1,4380,cvlt2_recall,0,boat
2,4380,cvlt2_recall,0,subway
3,4380,cvlt2_recall,0,lamp
4,4380,cvlt2_recall,0,desk
5,4380,cvlt2_recall,0,bookcase
6,4380,cvlt2_recall,0,cabinet
7,4380,cvlt2_recall,0,giraffe
8,4380,cvlt2_recall,0,zebra
9,4380,cvlt2_recall,0,cow
10,4380,cvlt2_recall,0,squirrel
11,4380,cvlt2_recall,0,cabbage
12,4380,cvlt2_recall,0,spinach
13,4380,cvlt2_recall,0,celery
14,4380,cvlt2_recall,0,intrusion
15,4380,cvlt2_recall,0,bookcase
16,4380,cvlt2_recall,0,lamp
0,4381,cvlt2_recall,0,truck
1,4381,cvlt2_recall,0,spinach
2,4381,cvlt2_recall,0,giraffe
3,4381,cvlt2_recall,0,bookcase
4,4381,cvlt2_recall,0,onion
5,4381,cvlt2_recall,0,motorcycle
6,4381,cvlt2_recall,0,zebra
7,4381,cvlt2_recall,0,lamp
8,4381,cvlt2_recall,0,intrusion
9,4381,cvlt2_recall,0,celery
10,4381,cvlt2_recall,0,cow
11,4381,cvlt2_recall,0,boat
12,4381,cvlt2_recall,0,subway
13,4381,cvlt2_recall,0,cabbage
14,4381,cvlt2_recall,0,squirrel
15,4381,cvlt2_recall,0,cabinet
16,4381,cvlt2_recall,0,celery
0,4382,cvlt2_recall,0,cow
1,4382,cvlt2_recall,0,truck
2,4382,cvlt2_recall,0,spinach
3,4382,cvlt2_recall,0,cabinet
4,4382,cvlt2_recall,0,zebra
5,4382,cvlt2_recall,0,squirrel
6,4382,cvlt2_recall,0,truck
0,4383,cvlt2_recall,0,truck
1,4383,cvlt2_recall,0,spinach
2,4383,cvlt2_recall,0,onion
3,4383,cvlt2_recall,0,zebra
4,4383,cvlt2_recall,0,cabbage
5,4383,cvlt2_recall,0,lamp
6,4383,cvlt2_recall,0,boat
0,4384,cvlt2_recall,0,truck
1,4384,cvlt2_recall,0,motorcycle
2,4384,cvlt2_recall,0,giraffe
3,4384,cvlt2_recall,0,cow
4,4384,cvlt2_recall,0,squirrel
5,4384,cvlt2_recall,0,cabinet
6,4384,cvlt2_recall,0,subway
7,4384,cvlt2_recall,0,spinach
8,4384,cvlt2_recall,0,cabbage
9,4384,cvlt2_recall,0,intrusion
10,4384,cvlt2_recall,0,onion
11,4384,cvlt2_recall,0,lamp
12,4384,cvlt2_recall,0,motorcycle
13,4384,cvlt2_recall,0,bookcase
14,4384,cvlt2_recall,0,intrusion
0,4385,cvlt2_recall,0,squirrel
1,4385,cvlt2_recall,0,cow
2,4385,cvlt2_recall,0,boat
3,4385,cvlt2_recall,0,onion
4,4385,cvlt2_recall,0,spinach
5,4385,cvlt2_recall,0,celery
6,4385,cvlt2_recall,0,squirrel
7,4385,cvlt2_recall,0,cow
8,4385,cvlt2_recall,0,boat
9,4385,cvlt2_recall,0,spinach
10,4385,cvlt2_recall,0,lamp
11,4385,cvlt2_recall,0,subway
12,4385,cvlt2_recall,0,squirrel
0,4386,cvlt2_recall,0,motorcycle
1,4386,cvlt2_recall,0,onion
2,4386,cvlt2_recall,0,spinach
3,4386,cvlt2_recall,0,truck
4,4386,cvlt2_recall,0,cow
5,4386,cvlt2_recall,0,intrusion
6,4386,cvlt2_recall,0,zebra
7,4386,cvlt2_recall,0,subway
8,4386,cvlt2_recall,0,cabbage
9,4386,cvlt2_recall,0,lamp
10,4386,cvlt2_recall,0,desk
11,4386,cvlt2_recall,0,motorcycle
12,4386,cvlt2_recall,0,boat
13,4386,cvlt2_recall,0,squirrel
14,4386,cvlt2_recall,0,lamp
15,4386,cvlt2_recall,0,giraffe
16,4386,cvlt2_recall,0,desk
17,4386,cvlt2_recall,0,subway
18,4386,cvlt2_recall,0,truck
19,4386,cvlt2_recall,0,motorcycle
20,4386,cvlt2_recall,0,boat
0,4387,cvlt2_recall,0,onion
1,4387,cvlt2_recall,0,zebra
2,4387,cvlt2_recall,0,giraffe
3,4387,cvlt2_recall,0,motorcycle
4,4387,cvlt2_recall,0,squirrel
0,4388,cvlt2_recall,0,cabbage
1,4388,cvlt2_recall,0,truck
2,4388,cvlt2_recall,0,spinach
3,4388,cvlt2_recall,0,onion
4,4388,cvlt2_recall,0,boat
5,4388,cvlt2_recall,0,cow
6,4388,cvlt2_recall,0,motorcycle
7,4388,cvlt2_recall,0,bookcase
0,4389,cvlt2_recall,0,cabbage
1,4389,cvlt2_recall,0,cow
2,4389,cvlt2_recall,0,zebra
3,4389,cvlt2_recall,0,desk
4,4389,cvlt2_recall,0,giraffe
5,4389,cvlt2_recall,0,truck
6,4389,cvlt2_recall,0,spinach
7,4389,cvlt2_recall,0,squirrel
8,4389,cvlt2_recall,0,bookcase
9,4389,cvlt2_recall,0,celery
0,4390,cvlt2_recall,0,truck
1,4390,cvlt2_recall,0,giraffe
2,4390,cvlt2_recall,0,boat
3,4390,cvlt2_recall,0,squirrel
4,4390,cvlt2_recall,0,zebra
5,4390,cvlt2_recall,0,desk
6,4390,cvlt2_recall,0,lamp
7,4390,cvlt2_recall,0,cabinet
8,4390,cvlt2_recall,0,cabbage
9,4390,cvlt2_recall,0,celery
10,4390,cvlt2_recall,0,subway
11,4390,cvlt2_recall,0,bookcase
12,4390,cvlt2_recall,0,squirrel
0,4391,cvlt2_recall,0,truck
1,4391,cvlt2_recall,0,boat
2,4391,cvlt2_recall,0,subway
3,4391,cvlt2_recall,0,motorcycle
4,4391,cvlt2_recall,0,spinach
5,4391,cvlt2_recall,0,celery
6,4391,cvlt2_recall,0,onion
7,4391,cvlt2_recall,0,zebra
8,4391,cvlt2_recall,0,giraffe
9,4391,cvlt2_recall,0,squirrel
10,4391,cvlt2_recall,0,bookcase
11,4391,cvlt2_recall,0,lamp
12,4391,cvlt2_recall,0,desk
13,4391,cvlt2_recall,0,cabinet
0,4392,cvlt2_recall,0,squirrel
1,4392,cvlt2_recall,0,cow
2,4392,cvlt2_recall,0,cabbage
3,4392,cvlt2_recall,0,celery
4,4392,cvlt2_recall,0,truck
5,4392,cvlt2_recall,0,motorcycle
6,4392,cvlt2_recall,0,boat
7,4392,cvlt2_recall,0,desk
8,4392,cvlt2_recall,0,cabinet
9,4392,cvlt2_recall,0,giraffe
10,4392,cvlt2_recall,0,zebra
0,4393,cvlt2_recall,0,truck
1,4393,cvlt2_recall,0,motorcycle
2,4393,cvlt2_recall,0,subway
3,4393,cvlt2_recall,0,boat
4,4393,cvlt2_recall,0,cabbage
5,4393,cvlt2_recall,0,spinach
6,4393,cvlt2_recall,0,onion
7,4393,cvlt2_recall,0,celery
8,4393,cvlt2_recall,0,bookcase
9,4393,cvlt2_recall,0,lamp
10,4393,cvlt2_recall,0,desk
11,4393,cvlt2_recall,0,giraffe
12,4393,cvlt2_recall,0,zebra
13,4393,cvlt2_recall,0,cow
14,4393,cvlt2_recall,0,squirrel
15,4393,cvlt2_recall,0,motorcycle
16,4393,cvlt2_recall,0,truck
17,4393,cvlt2_recall,0,giraffe
18,4393,cvlt2_recall,0,lamp
0,4394,cvlt2_recall,0,truck
1,4394,cvlt2_recall,0,boat
2,4394,cvlt2_recall,0,motorcycle
3,4394,cvlt2_recall,0,bookcase
4,4394,cvlt2_recall,0,cabinet
5,4394,cvlt2_recall,0,zebra
6,4394,cvlt2_recall,0,giraffe
7,4394,cvlt2_recall,0,squirrel
8,4394,cvlt2_recall,0,cow
9,4394,cvlt2_recall,0,onion
10,4394,cvlt2_recall,0,celery
11,4394,cvlt2_recall,0,spinach
12,4394,cvlt2_recall,0,truck
13,4394,cvlt2_recall,0,boat
14,4394,cvlt2_recall,0,lamp
0,4395,cvlt2_recall,0,onion
1,4395,cvlt2_recall,0,spinach
2,4395,cvlt2_recall,0,truck
3,4395,cvlt2_recall,0,squirrel
4,4395,cvlt2_recall,0,giraffe
5,4395,cvlt2_recall,0,subway
6,4395,cvlt2_recall,0,motorcycle
7,4395,cvlt2_recall,0,zebra
8,4395,cvlt2_recall,0,onion
9,4395,cvlt2_recall,0,subway
10,4395,cvlt2_recall,0,desk
11,4395,cvlt2_recall,0,intrusion
12,4395,cvlt2_recall,0,lamp
13,4395,cvlt2_recall,0,cow
14,4395,cvlt2_recall,0,spinach
15,4395,cvlt2_recall,0,celery
16,4395,cvlt2_recall,0,motorcycle
17,4395,cvlt2_recall,0,truck
18,4395,cvlt2_recall,0,giraffe
19,4395,cvlt2_recall,0,spinach
0,4396,cvlt2_recall,0,zebra
1,4396,cvlt2_recall,0,giraffe
2,4396,cvlt2_recall,0,lamp
3,4396,cvlt2_recall,0,truck
4,4396,cvlt2_recall,0,spinach
