proband_id,test_name,phase,trial_type,rt,nerrors
4394,trails,letter,practice,5660,0
4394,trails,letter,test,36410,0
4394,trails,number-letter,practice,6490,0
4394,trails,number-letter,test,44820,0
4395,trails,number,practice,6630,0
4395,trails,number,test,32830,0
4395,trails,letter,practice,4800,0
4395,trails,letter,test,24910,0
4395,trails,number-letter,practice,6710,0
4395,trails,number-letter,test,50660,0
4396,trails,number,practice,6610,0
4396,trails,number,test,36750,1
4396,trails,letter,practice,5960,0
4396,trails,letter,test,43190,2
4396,trails,number-letter,practice,6270,0
4396,trails,number-letter,test,89270,2
4397,trails,number,practice,5830,0
4397,trails,number,test,16660,0
4397,trails,letter,practice,4700,0
4397,trails,letter,test,22910,0
4397,trails,number-letter,practice,12460,1
4397,trails,number-letter,test,53890,0
4399,trails,number,practice,4480,0
4399,trails,number,test,41620,0
4399,trails,letter,practice,4430,0
4399,trails,letter,test,36890,0
4399,trails,number-letter,practice,3950,0
4399,trails,number-letter,test,62680,0
4401,trails,number,practice,6090,0
4401,trails,number,test,39940,0
4401,trails,letter,practice,4050,0
4401,trails,letter,test,27610,0
4401,trails,number-letter,practice,8920,0
4401,trails,number-letter,test,78820,1
4402,trails,number,practice,4550,0
4402,trails,number,test,34190,0
4402,trails,letter,practice,2630,0
4402,trails,letter,test,34600,2
4402,trails,number-letter,practice,6610,0
4402,trails,number-letter,test,85610,1
4403,trails,number,practice,6180,0
4403,trails,number,test,51550,1
4403,trails,letter,practice,6590,0
4403,trails,letter,test,40590,0
4403,trails,number-letter,practice,9380,0
4403,trails,number-letter,test,89910,1
4404,trails,number,practice,10010,0
4404,trails,number,test,41070,0
4404,trails,letter,practice,7210,0
4404,trails,letter,test,34610,0
4404,trails,number-letter,practice,8390,0
4404,trails,number-letter,test,68790,0
4409,trails,number,practice,4920,0
4409,trails,number,test,44790,0
4409,trails,letter,practice,5770,0
4409,trails,letter,test,47570,1
4409,trails,number-letter,practice,7860,0
4409,trails,number-letter,test,97840,0
4410,trails,number,practice,7170,0
4410,trails,number,test,22580,0
4410,trails,letter,practice,7160,0
4410,trails,letter,test,19190,0
4410,trails,number-letter,practice,18860,2
4410,trails,number-letter,test,50260,0
4411,trails,number,practice,11360,0
