proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
4368,orientation,last,0,-31,-224,233,131,0,650,657
4368,orientation,last,1,-273,-68,310,-249,0,480,1804
4368,orientation,last,2,178,207,-198,-147,0,400,2811
4368,orientation,last,3,40,-55,-163,283,0,610,3978
4368,orientation,last,4,-241,-116,260,315,0,1060,5475
4368,orientation,last,5,-95,-43,-346,-300,0,780,6262
4368,orientation,last,6,287,199,174,-307,0,970,7239
4368,orientation,last,7,124,321,209,-166,0,720,9147
4368,orientation,last,8,-123,133,-282,128,0,600,10164
4368,orientation,last,9,138,284,124,-343,0,530,11271
4369,orientation,first,0,44,-336,233,131,0,1930,1938
4369,orientation,first,1,291,-190,310,-249,0,940,2884
4369,orientation,first,2,174,158,-198,-147,0,910,3800
4369,orientation,first,3,249,-155,-163,283,0,950,4756
4369,orientation,first,4,144,171,260,315,0,700,5462
4369,orientation,first,5,292,-24,-346,-300,0,820,6288
4369,orientation,first,6,-136,-184,174,-307,0,1130,7424
4369,orientation,first,7,-314,-191,209,-166,0,1190,8620
4369,orientation,first,8,76,54,-282,128,0,1570,10195
4369,orientation,first,9,-192,168,124,-343,0,1100,11300
4369,orientation,last,0,-31,-224,233,131,0,840,849
4369,orientation,last,1,-273,-68,310,-249,0,830,1687
4369,orientation,last,2,178,207,-198,-147,0,1051,2745
4369,orientation,last,3,40,-55,-163,283,0,1030,3782
4369,orientation,last,4,-241,-116,260,315,0,990,4779
4369,orientation,last,5,-95,-43,-346,-300,0,790,5576
4369,orientation,last,6,287,199,174,-307,0,1170,6753
4369,orientation,last,7,124,321,209,-166,0,1060,7820
4369,orientation,last,8,-123,133,-282,128,0,960,8787
4369,orientation,last,9,138,284,124,-343,0,1220,10015
4370,orientation,first,0,44,-336,233,131,0,2060,2066
4370,orientation,first,1,291,-190,310,-249,0,1530,3602
4370,orientation,first,2,174,158,-198,-147,0,1330,4938
4370,orientation,first,3,249,-155,-163,283,0,730,7035
4370,orientation,first,4,144,171,260,315,0,1020,8061
4370,orientation,first,5,292,-24,-346,-300,0,870,8937
4370,orientation,first,6,-136,-184,174,-307,0,1500,10443
4370,orientation,first,7,-314,-191,209,-166,0,1250,11699
4370,orientation,first,8,76,54,-282,128,0,480,13675
4370,orientation,first,9,-192,168,124,-343,0,1240,14920
4370,orientation,last,0,-31,-224,233,131,0,1300,1307
4370,orientation,last,1,-273,-68,310,-249,1,2010,3325
4370,orientation,last,1,-273,-68,310,-249,0,1270,4595
4370,orientation,last,2,178,207,-198,-147,0,1260,5862
4370,orientation,last,3,40,-55,-163,283,0,880,6750
4370,orientation,last,4,-241,-116,260,315,0,980,7737
4370,orientation,last,5,-95,-43,-346,-300,0,1011,8755
4370,orientation,last,6,287,199,174,-307,0,1280,10042
4370,orientation,last,7,124,321,209,-166,0,1170,11219
4370,orientation,last,8,-123,133,-282,128,0,1180,12406
4370,orientation,last,9,138,284,124,-343,0,1350,13764
4371,orientation,first,0,44,-336,233,131,0,2150,2158
4371,orientation,first,1,291,-190,310,-249,0,1240,3404
4371,orientation,first,2,174,158,-198,-147,0,1140,4550
4371,orientation,first,3,249,-155,-163,283,0,1170,5726
4371,orientation,first,4,144,171,260,315,0,1380,7112
4371,orientation,first,5,292,-24,-346,-300,0,1350,8468
4371,orientation,first,6,-136,-184,174,-307,0,1330,9804
4371,orientation,first,7,-314,-191,209,-166,0,810,11230
4371,orientation,first,8,76,54,-282,128,0,1160,12395
4371,orientation,first,9,-192,168,124,-343,0,1441,13841
4371,orientation,last,0,-31,-224,233,131,0,960,966
4371,orientation,last,1,-273,-68,310,-249,0,960,1933
4371,orientation,last,2,178,207,-198,-147,0,1370,3310
4371,orientation,last,3,40,-55,-163,283,0,960,4277
4371,orientation,last,4,-241,-116,260,315,0,930,5214
4371,orientation,last,5,-95,-43,-346,-300,0,1420,6641
4371,orientation,last,6,287,199,174,-307,0,1190,7838
4371,orientation,last,7,124,321,209,-166,0,1100,8945
4371,orientation,last,8,-123,133,-282,128,0,1440,10392
4371,orientation,last,9,138,284,124,-343,0,1310,11710
4372,orientation,first,0,44,-336,233,131,0,1100,1108
4372,orientation,first,1,291,-190,310,-249,0,980,2095
4372,orientation,first,2,174,158,-198,-147,0,790,2891
4372,orientation,first,3,249,-155,-163,283,0,670,3567
4372,orientation,first,4,144,171,260,315,0,830,4403
4372,orientation,first,5,292,-24,-346,-300,0,960,5369
4372,orientation,first,6,-136,-184,174,-307,0,1581,6956
4372,orientation,first,7,-314,-191,209,-166,0,860,7822
4372,orientation,first,8,76,54,-282,128,0,1090,8918
4372,orientation,first,9,-192,168,124,-343,0,1060,9984
4372,orientation,last,0,-31,-224,233,131,0,460,1207
4372,orientation,last,1,-273,-68,310,-249,0,960,2175
4372,orientation,last,2,178,207,-198,-147,0,1030,3213
4372,orientation,last,3,40,-55,-163,283,0,1150,4371
4372,orientation,last,4,-241,-116,260,315,0,1260,5638
4372,orientation,last,5,-95,-43,-346,-300,0,970,6611
4372,orientation,last,6,287,199,174,-307,0,1170,7789
4372,orientation,last,7,124,321,209,-166,0,780,8577
4372,orientation,last,8,-123,133,-282,128,0,1000,9585
4372,orientation,last,9,138,284,124,-343,0,1290,10883
4373,orientation,first,0,44,-336,233,131,0,2240,2248
4373,orientation,first,1,291,-190,310,-249,0,1750,4004
4373,orientation,first,2,174,158,-198,-147,0,2431,6441
4373,orientation,first,3,249,-155,-163,283,0,1490,7937
4373,orientation,first,4,144,171,260,315,0,1470,9413
4373,orientation,first,5,292,-24,-346,-300,0,930,10349
4373,orientation,first,6,-136,-184,174,-307,0,1610,11965
4373,orientation,first,7,-314,-191,209,-166,0,1660,13630
4373,orientation,first,8,76,54,-282,128,0,1390,15025
4373,orientation,first,9,-192,168,124,-343,0,1910,16940
4373,orientation,last,0,-31,-224,233,131,0,1620,1629
4373,orientation,last,1,-273,-68,310,-249,0,950,2587
4373,orientation,last,2,178,207,-198,-147,0,1400,3995
4373,orientation,last,3,40,-55,-163,283,0,981,4983
4373,orientation,last,4,-241,-116,260,315,0,1250,6240
4373,orientation,last,5,-95,-43,-346,-300,0,1210,7457
4373,orientation,last,6,287,199,174,-307,0,1020,8484
4373,orientation,last,7,124,321,209,-166,0,1240,9732
4373,orientation,last,8,-123,133,-282,128,0,1410,11150
4373,orientation,last,9,138,284,124,-343,0,1170,12328
4374,orientation,first,0,44,-336,233,131,0,1340,1348
4374,orientation,first,1,291,-190,310,-249,0,1170,2524
4374,orientation,first,2,174,158,-198,-147,0,1100,3630
4374,orientation,first,3,249,-155,-163,283,0,1101,4737
4374,orientation,first,4,144,171,260,315,0,1200,5943
4374,orientation,first,5,292,-24,-346,-300,0,1580,8809
4374,orientation,first,6,-136,-184,174,-307,0,1390,10204
4374,orientation,first,7,-314,-191,209,-166,0,1370,11579
4374,orientation,first,8,76,54,-282,128,0,1460,13044
4374,orientation,first,9,-192,168,124,-343,0,1210,14259
4374,orientation,last,0,-31,-224,233,131,0,1370,1379
4374,orientation,last,1,-273,-68,310,-249,0,1380,2767
4374,orientation,last,2,178,207,-198,-147,0,1530,4304
4374,orientation,last,3,40,-55,-163,283,0,1510,5821
4374,orientation,last,4,-241,-116,260,315,0,1461,7289
4374,orientation,last,5,-95,-43,-346,-300,0,1150,8447
4374,orientation,last,6,287,199,174,-307,0,1240,9694
4374,orientation,last,7,124,321,209,-166,0,1270,10972
4374,orientation,last,8,-123,133,-282,128,0,1150,12129
4374,orientation,last,9,138,284,124,-343,0,1390,13527
4375,orientation,first,0,44,-336,233,131,0,770,778
4375,orientation,first,1,291,-190,310,-249,0,980,1765
4375,orientation,first,2,174,158,-198,-147,0,750,3081
4375,orientation,first,3,249,-155,-163,283,0,770,3857
4375,orientation,first,4,144,171,260,315,0,920,4783
4375,orientation,first,5,292,-24,-346,-300,0,740,5529
4375,orientation,first,6,-136,-184,174,-307,0,910,6445
4375,orientation,first,7,-314,-191,209,-166,0,740,7191
4375,orientation,first,8,76,54,-282,128,0,630,8737
4375,orientation,first,9,-192,168,124,-343,0,890,9633
4375,orientation,last,0,-31,-224,233,131,0,750,760
4375,orientation,last,1,-273,-68,310,-249,0,730,1498
4375,orientation,last,2,178,207,-198,-147,0,940,2446
4375,orientation,last,3,40,-55,-163,283,0,841,3295
4375,orientation,last,4,-241,-116,260,315,0,750,4052
4375,orientation,last,5,-95,-43,-346,-300,0,811,4870
4375,orientation,last,6,287,199,174,-307,0,1030,5908
4375,orientation,last,7,124,321,209,-166,0,770,6686
4375,orientation,last,8,-123,133,-282,128,0,770,7464
4375,orientation,last,9,138,284,124,-343,0,1030,8502
4376,orientation,first,0,44,-336,233,131,0,1540,1548
4376,orientation,first,1,291,-190,310,-249,0,1170,2725
4376,orientation,first,2,174,158,-198,-147,0,3540,6271
4376,orientation,first,3,249,-155,-163,283,0,1280,7557
4376,orientation,first,4,144,171,260,315,0,1080,8640
4376,orientation,first,5,292,-24,-346,-300,0,1120,9766
4376,orientation,first,6,-136,-184,174,-307,0,1471,11243
4376,orientation,first,7,-314,-191,209,-166,0,910,12158
4376,orientation,first,8,76,54,-282,128,0,920,14283
4376,orientation,first,9,-192,168,124,-343,0,870,15158
4376,orientation,last,0,-31,-224,233,131,0,1250,1258
4376,orientation,last,1,-273,-68,310,-249,0,1050,2316
4376,orientation,last,2,178,207,-198,-147,0,1250,3573
4376,orientation,last,3,40,-55,-163,283,0,890,4470
4376,orientation,last,4,-241,-116,260,315,0,980,5457
4376,orientation,last,5,-95,-43,-346,-300,0,1030,6494
4376,orientation,last,6,287,199,174,-307,0,1250,7751
4376,orientation,last,7,124,321,209,-166,0,1040,8798
4376,orientation,last,8,-123,133,-282,128,0,1040,9846
4376,orientation,last,9,138,284,124,-343,0,1000,10854
4377,orientation,first,0,44,-336,233,131,0,970,978
4377,orientation,first,1,291,-190,310,-249,0,720,1704
4377,orientation,first,2,174,158,-198,-147,0,460,2960
4377,orientation,first,3,249,-155,-163,283,0,850,3816
4377,orientation,first,4,144,171,260,315,0,780,4602
4377,orientation,first,5,292,-24,-346,-300,0,650,5258
4377,orientation,first,6,-136,-184,174,-307,0,880,6144
4377,orientation,first,7,-314,-191,209,-166,0,700,6849
4377,orientation,first,8,76,54,-282,128,0,911,7765
4377,orientation,first,9,-192,168,124,-343,0,800,8570
4377,orientation,last,0,-31,-224,233,131,0,720,729
4377,orientation,last,1,-273,-68,310,-249,0,790,1527
4377,orientation,last,2,178,207,-198,-147,0,840,2374
4377,orientation,last,3,40,-55,-163,283,0,890,3271
4377,orientation,last,4,-241,-116,260,315,0,760,4038
4377,orientation,last,5,-95,-43,-346,-300,0,810,4855
4377,orientation,last,6,287,199,174,-307,0,960,5822
4377,orientation,last,7,124,321,209,-166,0,780,6609
4377,orientation,last,8,-123,133,-282,128,0,420,7807
4377,orientation,last,9,138,284,124,-343,0,850,8665
4378,orientation,first,0,44,-336,233,131,0,1420,1428
4378,orientation,first,1,291,-190,310,-249,0,980,2414
4378,orientation,first,2,174,158,-198,-147,0,840,3260
4378,orientation,first,3,249,-155,-163,283,0,820,4086
4378,orientation,first,4,144,171,260,315,0,870,4962
4378,orientation,first,5,292,-24,-346,-300,0,450,6219
4378,orientation,first,6,-136,-184,174,-307,0,890,7114
4378,orientation,first,7,-314,-191,209,-166,0,480,8380
4378,orientation,first,8,76,54,-282,128,0,1180,9566
4378,orientation,first,9,-192,168,124,-343,0,1050,10621
4378,orientation,last,0,-31,-224,233,131,0,740,750
4378,orientation,last,1,-273,-68,310,-249,0,800,1558
4378,orientation,last,2,178,207,-198,-147,0,990,2556
4378,orientation,last,3,40,-55,-163,283,0,820,3383
4378,orientation,last,4,-241,-116,260,315,0,680,4070
4378,orientation,last,5,-95,-43,-346,-300,0,800,4877
4378,orientation,last,6,287,199,174,-307,0,1230,6114
4378,orientation,last,7,124,321,209,-166,0,700,6822
4378,orientation,last,8,-123,133,-282,128,0,610,8419
4378,orientation,last,9,138,284,124,-343,0,1230,9657
4379,orientation,first,0,44,-336,233,131,0,1210,1218
4379,orientation,first,1,291,-190,310,-249,0,770,1995
4379,orientation,first,2,174,158,-198,-147,0,820,2821
4379,orientation,first,3,249,-155,-163,283,0,830,3657
4379,orientation,first,4,144,171,260,315,0,750,4413
4379,orientation,first,5,292,-24,-346,-300,0,680,5099
4379,orientation,first,6,-136,-184,174,-307,0,760,5865
4379,orientation,first,7,-314,-191,209,-166,0,660,6531
4379,orientation,first,8,76,54,-282,128,0,890,7427
4379,orientation,first,9,-192,168,124,-343,0,760,8193
4379,orientation,last,0,-31,-224,233,131,0,740,749
4379,orientation,last,1,-273,-68,310,-249,0,740,1497
4379,orientation,last,2,178,207,-198,-147,0,680,2185
4379,orientation,last,3,40,-55,-163,283,0,750,2943
4379,orientation,last,4,-241,-116,260,315,0,760,3710
