proband_id,test_name,phase,trialn,rule,ans,pers,other,lapse,f1,f2,f3,f4,rsp,rt
4429,pcet,test,23,shape,1,0,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,1,1560
4429,pcet,test,24,size,0,2,3,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,2,1260
4429,pcet,test,25,size,3,2,0,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,1,2300
4429,pcet,test,26,size,0,3,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,0,630
4429,pcet,test,27,size,1,2,3,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,1,1561
4429,pcet,test,28,size,2,3,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,1,780
4429,pcet,test,29,size,1,0,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,0,520
4429,pcet,test,30,size,0,1,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,1,1840
4429,pcet,test,31,size,3,1,0,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,0,2830
4429,pcet,test,32,size,0,2,1,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,2,2170
4429,pcet,test,33,size,3,1,2,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,1,830
4429,pcet,test,34,size,2,3,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,0,400
4429,pcet,test,35,size,2,0,1,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,3,340
4429,pcet,test,36,thickness,2,3,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,1,900
4429,pcet,test,37,thickness,3,2,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,1,1580
4429,pcet,test,38,thickness,0,3,1,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,0,530
4429,pcet,test,39,thickness,0,3,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,2,1460
4429,pcet,test,40,thickness,0,1,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,0,2481
4429,pcet,test,41,thickness,3,0,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,3,1860
4429,pcet,test,42,thickness,0,3,1,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,1,1050
4429,pcet,test,43,thickness,0,3,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,2,2210
4429,pcet,test,44,thickness,2,1,3,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,3,650
4429,pcet,test,45,thickness,3,0,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,0,1150
4429,pcet,test,46,thickness,1,3,2,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,1,790
4429,pcet,test,47,thickness,1,3,2,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,2,1131
