proband_id,test_name,phase,trialn,updates,origin,endpoint,moves,marginalpositions,rsp,rt
4273,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",0,3310
4273,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,1060
4273,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",2,1570
4273,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1661
4273,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",7,1720
4273,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",11,1690
4273,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",1,1190
4273,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1070
4273,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,770
4273,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",7,1180
4273,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,830
4273,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",1,3070
4273,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",6,1310
4273,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",8,930
4273,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",2,790
4307,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,6991
4307,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1760
4307,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,2760
4307,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,940
4307,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,910
