proband_id,test_name,trialn,sex,emotion,salience,f,rsp,rt
4273,emotion_recognition,0,Female,Happy,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FHZ_152.png,Happy,4080
4273,emotion_recognition,1,Female,Afraid,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FFZ_236.png,Afraid,2860
4273,emotion_recognition,2,Male,Happy,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MHZ_216.png,Happy,2180
4273,emotion_recognition,3,Male,Angry,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MAX_39.png,Afraid,2501
4273,emotion_recognition,4,Male,Happy,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MHX_140.png,Happy,3130
4273,emotion_recognition,5,Female,Afraid,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FFX_54.png,Sad,4580
4273,emotion_recognition,6,Female,Neutral,N/A,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FN_30.png,Neutral,2440
4273,emotion_recognition,7,Female,Sad,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FSZ_219.png,Sad,1580
4273,emotion_recognition,8,Male,Happy,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MHX_104.png,Happy,1220
4273,emotion_recognition,9,Female,Angry,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FAX_45.png,Sad,1970
4273,emotion_recognition,10,Female,Happy,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FHZ_131.png,Happy,1171
4273,emotion_recognition,11,Male,Neutral,N/A,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MN_111.png,Neutral,1830
4273,emotion_recognition,12,Female,Angry,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FAZ_32.png,Angry,1530
4273,emotion_recognition,13,Female,Happy,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FHX_220.png,Neutral,3530
4273,emotion_recognition,14,Female,Afraid,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FFX_130.png,Afraid,1430
4273,emotion_recognition,15,Female,Sad,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FSX_20.png,Sad,1910
4273,emotion_recognition,16,Male,Sad,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MSX_108.png,Angry,2870
4273,emotion_recognition,17,Male,Sad,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MSX_147.png,Sad,2230
4273,emotion_recognition,18,Female,Angry,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FAZ_129.png,Angry,1681
4273,emotion_recognition,19,Male,Neutral,N/A,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MN_123.png,Neutral,5300
4273,emotion_recognition,20,Male,Sad,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MSZ_126.png,Afraid,3480
4273,emotion_recognition,21,Male,Angry,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MAZ_128.png,Angry,1530
4273,emotion_recognition,22,Male,Afraid,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MFZ_7.png,Afraid,1690
4273,emotion_recognition,23,Female,Angry,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\FAX_25.png,Neutral,3370
4273,emotion_recognition,24,Male,Sad,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MSZ_112.png,Sad,1911
4273,emotion_recognition,25,Male,Neutral,N/A,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MN_223.png,Neutral,1410
4273,emotion_recognition,26,Male,Angry,Weak,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MAX_201.png,Neutral,4060
4273,emotion_recognition,27,Male,Happy,Strong,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\emotion_recognition\MHZ_227.png,Happy,1500
