proband_id,test_name,phase,trialn,matches,ans,symbol1,symbol2,symbol3,rsp,rt
4461,ipcpts,test,101,1,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4461,ipcpts,test,102,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4461,ipcpts,test,103,3,Yes,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,Yes,657
4461,ipcpts,test,104,2,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4461,ipcpts,test,105,1,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4461,ipcpts,test,106,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,No,0
4461,ipcpts,test,107,3,Yes,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,Yes,482
4461,ipcpts,test,108,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4461,ipcpts,test,109,1,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
4461,ipcpts,test,110,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,Yes,758
4461,ipcpts,test,111,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4461,ipcpts,test,112,3,Yes,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4461,ipcpts,test,113,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4461,ipcpts,test,114,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4461,ipcpts,test,115,3,Yes,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,Yes,585
4461,ipcpts,test,116,3,Yes,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,Yes,869
4461,ipcpts,test,117,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
4461,ipcpts,test,118,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4461,ipcpts,test,119,2,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,No,0
4461,ipcpts,test,120,0,No,c:\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,c:\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
