proband_id,test_name,condition,phase,trialn,n,positions,symbols,correct,rt,responses,rt_first
4423,corsi,simultaneous,test,22,9,"[(-14, 262), (61, -121), (-220, 65), (132, 156), (184, 292), (258, 114), (33, -50), (247, 221), (261, -217), (115, 3), (-229, -103), (44, 177), (43, -256), (-197, -14), (184, -215), (-132, -145), (-291, 134), (-99, 265)]",ccccccccc,0,6206,"[(2, 790), (6, 500), (1, 300), (8, 610), (7, 620), (4, 260), (5, 370), (3, 320), (11, 1480)]",790
4423,corsi,simultaneous,test,23,9,"[(-69, -172), (-116, 277), (-210, 136), (163, -293), (-205, 59), (298, 150), (259, -106), (-106, -269), (46, 121), (34, 42), (-35, 293), (139, 264), (-287, 243), (97, -167), (-63, 159), (-96, -89), (279, 283), (206, -222)]",ccccccccc,0,4516,"[(1, 1000), (2, 650), (4, 330), (8, 610), (5, 630), (17, 660)]",1000
4423,corsi,forward,practice,0,2,"[(22, -157), (223, -87), (-19, 229), (-248, 280)]",cc,1,4524,"[(0, 630), (1, 1880)]",630
4423,corsi,forward,test,0,2,"[(-217, -104), (-214, 227), (-54, 123), (-52, 204)]",cc,1,2192,"[(0, 980), (1, 450)]",980
4423,corsi,forward,test,1,2,"[(-243, 262), (102, 18), (-179, -182), (252, -188)]",cc,1,1843,"[(0, 950), (1, 681)]",950
4423,corsi,forward,test,2,2,"[(-130, -36), (202, -240), (247, 121), (-185, 238)]",cc,1,1642,"[(0, 570), (1, 860)]",570
4423,corsi,forward,test,3,3,"[(-203, 180), (24, -213), (199, -196), (247, 253), (-104, 87), (-182, -96)]",ccc,1,3059,"[(0, 1251), (1, 980), (2, 510)]",1251
4423,corsi,forward,test,4,3,"[(-259, 243), (136, 116), (-77, -137), (-45, 183), (-213, -271), (-109, -238)]",ccc,1,2738,"[(0, 940), (1, 630), (2, 850)]",940
4423,corsi,forward,test,5,3,"[(29, -275), (-243, -2), (254, 275), (-100, 168), (3, -33), (-243, -191)]",ccc,1,2968,"[(0, 990), (1, 840), (2, 820)]",990
4423,corsi,forward,test,6,4,"[(-36, -257), (-129, -94), (-128, 254), (-79, -17), (141, 297), (-131, -253), (-210, 37), (-235, -55)]",cccc,1,3622,"[(0, 400), (1, 410), (2, 570), (3, 931)]",400
4423,corsi,forward,test,7,4,"[(-218, -129), (-72, -41), (276, 285), (102, -163), (-186, 26), (-260, 138), (106, -34), (-181, 147)]",cccc,1,3174,"[(0, 860), (1, 480), (2, 760), (3, 650)]",860
4423,corsi,forward,test,8,4,"[(-83, 98), (-175, 105), (158, -199), (14, -32), (263, -80), (265, 227), (-15, -235), (261, 93)]",cccc,1,3285,"[(0, 970), (1, 710), (2, 600), (3, 580)]",970
4423,corsi,forward,test,9,5,"[(211, -69), (-16, 194), (290, -229), (-237, -80), (-168, 30), (128, -253), (-159, -226), (-28, -24), (84, -88), (208, 156)]",ccccc,0,4525,"[(0, 1871), (1, 350), (2, 1020), (5, 400)]",1871
4423,corsi,forward,test,10,5,"[(43, -237), (-207, -84), (14, 201), (-56, -26), (264, -291), (235, 150), (-107, -246), (44, 120), (94, -136), (-287, 211)]",ccccc,1,3851,"[(0, 730), (1, 560), (2, 610), (3, 560), (4, 861)]",730
4423,corsi,forward,test,11,5,"[(212, -65), (-272, 196), (-190, 278), (70, -86), (60, -247), (134, -240), (-198, -287), (-159, 113), (-6, -49), (-15, -254)]",ccccc,0,1928,"[(0, 570), (1, 660), (7, 380)]",570
4423,corsi,forward,test,12,6,"[(-12, -88), (-121, -220), (246, -157), (164, -286), (-108, 79), (256, 112), (139, 142), (-296, -22), (-4, 15), (189, -79), (-179, -137), (160, 213)]",cccccc,1,3426,"[(0, 550), (1, 450), (2, 630), (3, 280), (4, 470), (5, 410)]",550
4423,corsi,forward,test,13,6,"[(298, 270), (148, 116), (186, -52), (-19, 265), (-215, 5), (254, 145), (56, 17), (-40, -213), (-169, 283), (-76, 45), (-270, -276), (-50, -57)]",cccccc,1,4246,"[(0, 1180), (1, 500), (2, 400), (3, 400), (4, 500), (5, 630)]",1180
4423,corsi,forward,test,14,6,"[(-69, -90), (198, 198), (-281, -94), (33, 6), (121, 202), (-167, -84), (299, 157), (-92, -210), (129, -175), (248, 28), (-146, 162), (-11, 212)]",cccccc,0,3594,"[(0, 810), (1, 780), (2, 750), (4, 830)]",810
4423,corsi,forward,test,15,7,"[(-48, -80), (70, 194), (153, -263), (228, 58), (-265, -269), (-11, 28), (-284, -75), (-262, 17), (-180, -128), (-154, 4), (14, -213), (145, 85), (281, 194), (238, -51)]",ccccccc,0,3266,"[(0, 881), (1, 570), (2, 610), (4, 780)]",881
4423,corsi,forward,test,16,7,"[(-153, -173), (148, -65), (-267, -185), (-127, 166), (219, 105), (-99, -11), (-272, 2), (-183, 242), (-160, 71), (224, 227), (178, 22), (130, 137), (-61, 95), (-43, -135)]",ccccccc,0,937,"[(2, 830)]",830
4423,corsi,forward,test,17,7,"[(215, -35), (-177, -108), (-72, -76), (225, 256), (-84, -187), (116, -273), (73, 61), (-281, 252), (-277, -164), (-300, 103), (-266, -2), (-150, 200), (247, -152), (-182, 99)]",ccccccc,0,6507,"[(0, 770), (1, 760), (2, 620), (3, 1310), (4, 1250), (6, 310)]",770
4423,corsi,sequence,practice,0,2,"[(109, -63), (-79, 30), (61, 222), (294, 67)]",cx,1,4204,"[(0, 1390), (1, 800)]",1390
4423,corsi,sequence,practice,1,2,"[(-299, 147), (263, 110), (149, -280), (69, -274)]",xc,1,3104,"[(1, 1040), (0, 50)]",1040
4423,corsi,sequence,practice,2,3,"[(-243, -75), (249, 194), (-245, 237), (-153, 99), (206, 105), (231, -184)]",xcc,1,5401,"[(1, 1370), (2, 330), (0, 120)]",1370
4423,corsi,sequence,practice,3,3,"[(-87, 85), (-101, -204), (52, -69), (-177, -2), (3, -150), (-71, 177)]",cxc,1,5271,"[(0, 720), (2, 710), (1, 820)]",720
4423,corsi,sequence,test,0,2,"[(20, 205), (-110, -74), (-260, -54), (-297, 83)]",cx,1,1842,"[(0, 980), (1, 650)]",980
4423,corsi,sequence,test,1,2,"[(-151, -103), (-216, 77), (85, -284), (264, 73)]",cx,1,1532,"[(0, 670), (1, 650)]",670
4423,corsi,sequence,test,2,2,"[(-132, 279), (232, 79), (272, -77), (-295, -138)]",cx,0,1016,"[(2, 910)]",910
