,proband_id,test_name,phase,trialn,task,pos,dir,switch,cong,f,ans,rsp,rt
36,4273,switching,predictable,27,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,530
37,4273,switching,predictable,28,Position,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Right,430
38,4273,switching,predictable,29,Position,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,530
39,4273,switching,predictable,30,Direction,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,650
40,4273,switching,predictable,31,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,410
41,4273,switching,predictable,32,Position,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,450
42,4273,switching,predictable,33,Position,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,580
43,4273,switching,predictable,34,Direction,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,460
44,4273,switching,predictable,35,Direction,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,400
45,4273,switching,predictable,36,Position,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Left,470
46,4273,switching,predictable,37,Position,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,470
47,4273,switching,predictable,38,Direction,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,440
48,4273,switching,predictable,39,Direction,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,530
49,4273,switching,predictable,40,Position,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,951
50,4273,switching,predictable,41,Position,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,461
51,4273,switching,predictable,42,Direction,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,650
52,4273,switching,predictable,43,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,480
53,4273,switching,predictable,44,Position,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Right,400
54,4273,switching,predictable,45,Position,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,880
55,4273,switching,predictable,46,Direction,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,450
56,4273,switching,predictable,47,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,670
57,4273,switching,predictable,48,Position,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Right,440
58,4273,switching,predictable,49,Position,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Right,680
59,4273,switching,predictable,50,Direction,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,590
60,4273,switching,predictable,51,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,860
61,4273,switching,predictable,52,Position,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,1150
62,4273,switching,predictable,53,Position,Right,Left,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Right,Left,401
63,4273,switching,predictable,54,Direction,Right,Left,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Left,740
64,4273,switching,predictable,55,Direction,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,660
65,4273,switching,predictable,56,Position,Left,Right,Switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Right,990
66,4273,switching,predictable,57,Position,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Right,440
67,4273,switching,predictable,58,Direction,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,420
68,4273,switching,predictable,59,Direction,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_left.png,Left,Right,360
69,4273,switching,predictable,60,Position,Left,Left,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Left,Left,310
70,4273,switching,predictable,61,Position,Left,Left,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_left.png,Left,Left,460
71,4273,switching,predictable,62,Direction,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,470
72,4273,switching,predictable,63,Direction,Right,Right,Non-switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_red_right.png,Right,Right,360
73,4273,switching,predictable,64,Position,Right,Right,Switch,Congruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Right,Right,471
74,4273,switching,predictable,65,Position,Left,Right,Non-switch,Incongruent,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\switching\arrow_blue_right.png,Left,Left,560
